Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Wawww mantap rasanya;1
Favoritnya yg mana nih kak?;1
Desainnya sangat bagus sekali kak;1
Pas untuk di lihat dan dirasakan minumannya;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Rasanya manis dan asin jadi satu;1
buat kopel bagus nih;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Wawww mantap rasanya;1
Favoritnya yg mana nih kak?;1
Desainnya sangat bagus sekali kak;1
Pas untuk di lihat dan dirasakan minumannya;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Rasanya manis dan asin jadi satu;1
buat kopel bagus nih;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Wawww mantap rasanya;1
Favoritnya yg mana nih kak?;1
Desainnya sangat bagus sekali kak;1
Pas untuk di lihat dan dirasakan minumannya;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Rasanya manis dan asin jadi satu;1
buat kopel bagus nih;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Wawww mantap rasanya;1
Favoritnya yg mana nih kak?;1
Desainnya sangat bagus sekali kak;1
Pas untuk di lihat dan dirasakan minumannya;1
Rasanya kurang nendang nih;0
Pernah nyoba sih, tapi pahit. saya gak suka yg pahit-pahit.;0
Rasanya manis dan asin jadi satu;1
buat kopel bagus nih;1